simulation_no,group_no,p_number_of_groups,p_patch_growth_rate,p_movement_cost,p_aggression_cost,p_birth_cost,p_stop_at,world_patch_count,world_group_count,world_individual_count,group_periphery_count,group_territory_size,group_population_size,group_death_count,group_war_death_count,group_base_death_count,group_birth_no,group_mean_age,group_median_fertility
6537538,0,2,0.92,1,5,9,156,10000,2,8939,649,5434,4875,233,30,203,213,21.410871794871795,61
6537538,5,2,0.92,1,5,9,156,10000,2,8939,686,4566,4064,161,31,130,162,20.849409448818896,64
3732004,45,10,0.92,1,5,9,133,10000,10,8197,444,1817,1550,83,19,64,66,19.62258064516129,43
3732004,5,10,0.92,1,5,9,133,10000,10,8197,243,522,408,24,15,9,23,16.34313725490196,29
3732004,25,10,0.92,1,5,9,133,10000,10,8197,366,1602,1380,69,28,41,51,19.233333333333334,43
3732004,10,10,0.92,1,5,9,133,10000,10,8197,323,1370,1138,44,19,25,56,19.91652021089631,44
3732004,35,10,0.92,1,5,9,133,10000,10,8197,358,1317,1062,55,24,31,45,17.972693032015066,42
3732004,40,10,0.92,1,5,9,133,10000,10,8197,59,64,38,5,3,2,2,7.578947368421052,34
3732004,0,10,0.92,1,5,9,133,10000,10,8197,269,678,543,24,10,14,22,18.01841620626151,35
3732004,30,10,0.92,1,5,9,133,10000,10,8197,278,788,614,28,14,14,36,17.379478827361563,48
3732004,15,10,0.92,1,5,9,133,10000,10,8197,273,843,652,36,17,19,31,16.62269938650307,46
3732004,20,10,0.92,1,5,9,133,10000,10,8197,292,999,812,40,12,28,32,18.99137931034483,33
5956380,12,10,0.3,1,90,10,868,10000,8,2694,440,1772,491,15,3,12,21,19.780040733197556,52
5956380,30,10,0.3,1,90,10,868,10000,8,2694,378,916,238,13,3,10,11,17.26050420168067,39
5956380,54,10,0.3,1,90,10,868,10000,8,2694,237,350,77,3,1,2,6,13.844155844155845,52
5956380,36,10,0.3,1,90,10,868,10000,8,2694,270,627,159,10,6,4,10,16.9874213836478,60
5956380,42,10,0.3,1,90,10,868,10000,8,2694,490,1820,492,20,7,13,31,19.971544715447155,44
5956380,48,10,0.3,1,90,10,868,10000,8,2694,384,841,214,8,4,4,13,15.794392523364486,48
5956380,6,10,0.3,1,90,10,868,10000,8,2694,480,2095,592,27,7,20,26,20.160472972972972,52
5956380,18,10,0.3,1,90,10,868,10000,8,2694,529,1579,431,25,11,14,22,19.243619489559165,52
8580337,54,10,0.3,1,90,10,868,10000,8,2694,237,350,77,3,1,2,6,13.844155844155845,52
8580337,18,10,0.3,1,90,10,868,10000,8,2694,529,1579,431,25,11,14,22,19.243619489559165,52
8580337,42,10,0.3,1,90,10,868,10000,8,2694,490,1820,492,20,7,13,31,19.971544715447155,44
8580337,6,10,0.3,1,90,10,868,10000,8,2694,480,2095,592,27,7,20,26,20.160472972972972,52
8580337,36,10,0.3,1,90,10,868,10000,8,2694,270,627,159,10,6,4,10,16.9874213836478,60
8580337,12,10,0.3,1,90,10,868,10000,8,2694,440,1772,491,15,3,12,21,19.780040733197556,52
8580337,30,10,0.3,1,90,10,868,10000,8,2694,378,916,238,13,3,10,11,17.26050420168067,39
8580337,48,10,0.3,1,90,10,868,10000,8,2694,384,841,214,8,4,4,13,15.794392523364486,48
